Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
297.340000	297.780000	0.005225	0.000059	0.510266	86.710000	30230
297.320000	297.770000	0.005225	0.000059	0.510266	86.710000	30230
297.340000	297.750000	0.005225	0.000060	0.510266	86.710000	30230
297.330000	297.730000	0.005225	0.000060	0.510266	86.710000	30230
297.330000	297.720000	0.005224	0.000060	0.510266	86.710000	30230
297.320000	297.700000	0.005224	0.000060	0.510266	86.710000	30230
297.310000	297.690000	0.005224	0.000059	0.510266	86.710000	30230
297.320000	297.680000	0.005224	0.000059	0.510266	86.710000	30230
297.320000	297.670000	0.005223	0.000059	0.510266	86.710000	30230
297.320000	297.660000	0.005223	0.000060	0.510266	86.710000	30230
297.320000	297.630000	0.005223	0.000060	0.510266	86.710000	30230
297.320000	297.620000	0.005223	0.000060	0.510266	86.710000	30230
297.320000	297.610000	0.005223	0.000060	0.510266	86.710000	30230
297.320000	297.590000	0.005223	0.000060	0.510266	86.710000	30230
297.320000	297.600000	0.005224	0.000060	0.510266	86.710000	30230
297.310000	297.570000	0.005224	0.000060	0.510266	86.710000	30230
297.310000	297.550000	0.005224	0.000059	0.510266	86.710000	30230
297.310000	297.540000	0.005224	0.000059	0.510266	86.710000	30230
297.320000	297.530000	0.005224	0.000059	0.510266	86.710000	30230
297.320000	297.520000	0.005224	0.000059	0.510266	86.710000	30230
297.320000	297.500000	0.005223	0.000059	0.510266	86.710000	30230
297.310000	297.500000	0.005223	0.000058	0.510266	86.710000	30230
297.320000	297.480000	0.005223	0.000058	0.510266	86.710000	30230
297.290000	297.460000	0.005223	0.000058	0.510219	86.710000	30230
297.300000	297.450000	0.005223	0.000058	0.510219	86.710000	30230
297.290000	297.440000	0.005223	0.000058	0.510219	86.710000	30230
297.300000	297.410000	0.005223	0.000058	0.510219	86.710000	30230
297.300000	297.420000	0.005223	0.000058	0.510219	86.710000	30230
297.280000	297.400000	0.005223	0.000058	0.510219	86.710000	30230
297.300000	297.380000	0.005224	0.000058	0.510219	86.710000	30230
297.280000	297.370000	0.005224	0.000059	0.510219	86.710000	30230
297.290000	297.360000	0.005224	0.000059	0.510219	86.710000	30230
297.270000	297.340000	0.005224	0.000059	0.510219	86.710000	30230
297.280000	297.330000	0.005224	0.000059	0.510219	86.710000	30230
297.290000	297.330000	0.005224	0.000059	0.510219	86.710000	30230
297.300000	297.310000	0.005225	0.000058	0.510219	86.710000	30230
297.280000	297.290000	0.005225	0.000058	0.510219	86.710000	30230
297.280000	297.290000	0.005225	0.000058	0.510219	86.710000	30230
297.260000	297.280000	0.005226	0.000058	0.510219	86.710000	30230
297.280000	297.260000	0.005226	0.000058	0.510219	86.710000	30230
297.270000	297.240000	0.005226	0.000058	0.510219	86.710000	30230
297.270000	297.230000	0.005225	0.000058	0.510219	86.710000	30230
297.260000	297.220000	0.005225	0.000058	0.510219	86.710000	30230
297.260000	297.210000	0.005224	0.000058	0.510219	86.710000	30230
297.250000	297.200000	0.005224	0.000058	0.510219	86.710000	30230
297.260000	297.180000	0.005224	0.000058	0.510219	86.710000	30230
297.250000	297.160000	0.005224	0.000058	0.510219	86.710000	30230
297.240000	297.140000	0.005224	0.000058	0.510219	86.710000	30230
297.250000	297.140000	0.005224	0.000059	0.510219	86.710000	30230
297.230000	297.130000	0.005224	0.000059	0.510219	86.710000	30230
297.260000	297.110000	0.005224	0.000059	0.510219	86.710000	30230
297.250000	297.100000	0.005224	0.000059	0.510219	86.710000	30230
297.240000	297.080000	0.005224	0.000059	0.510219	86.710000	30230
297.240000	297.070000	0.005224	0.000059	0.510219	86.710000	30230
297.220000	297.060000	0.005224	0.000059	0.510219	86.710000	30230
297.230000	297.060000	0.005224	0.000059	0.510219	86.710000	30230
297.220000	297.040000	0.005225	0.000059	0.510219	86.710000	30230
297.240000	297.020000	0.005225	0.000059	0.510219	86.710000	30230
297.230000	297.010000	0.005225	0.000059	0.510219	86.710000	30230
297.230000	297.000000	0.005225	0.000059	0.510219	86.710000	30230
297.230000	296.990000	0.005225	0.000059	0.510219	86.710000	30230
297.220000	296.970000	0.005225	0.000058	0.510219	86.710000	30230
297.230000	296.970000	0.005225	0.000058	0.510219	86.710000	30230
297.210000	296.950000	0.005225	0.000058	0.510219	86.710000	30230
297.220000	296.940000	0.005225	0.000057	0.510219	86.710000	30230
297.210000	296.930000	0.005225	0.000058	0.510219	86.710000	30230
297.210000	296.920000	0.005225	0.000058	0.510219	86.710000	30230
297.210000	296.910000	0.005224	0.000058	0.510219	86.710000	30230
297.210000	296.900000	0.005224	0.000059	0.510219	86.710000	30230
297.200000	296.880000	0.005224	0.000059	0.510219	86.710000	30230
297.190000	296.860000	0.005224	0.000059	0.510219	86.710000	30230
297.180000	296.860000	0.005225	0.000059	0.510219	86.710000	30230
297.200000	296.850000	0.005224	0.000059	0.510219	86.710000	30230
297.190000	296.830000	0.005224	0.000059	0.510219	86.710000	30230
297.170000	296.820000	0.005224	0.000059	0.510219	86.710000	30230
