Temp A (K)	Temp B (K)	current (A)	voltage (V)	R (ohm)
12.033000	10.807000	5.000000E-6	1.178178E-4	23.563560
12.058000	10.719000	5.000000E-6	1.168750E-4	23.375010
12.042000	10.592000	5.000000E-6	1.167753E-4	23.355050
12.041000	10.821000	5.000000E-6	1.161964E-4	23.239280
12.067000	11.492000	5.000000E-6	1.158958E-4	23.179150
12.136000	11.347000	5.000000E-6	1.152411E-4	23.048210
12.175000	11.214000	5.000000E-6	1.146763E-4	22.935250
12.191000	10.959000	5.000000E-6	1.140833E-4	22.816669
12.188000	10.756000	5.000000E-6	1.139021E-4	22.780427
12.174000	10.746000	5.000000E-6	1.128582E-4	22.571644
12.188000	11.298000	5.000000E-6	1.122218E-4	22.444354
12.241000	11.666000	5.000000E-6	1.119759E-4	22.395182
12.295000	11.551000	5.000000E-6	1.113662E-4	22.273231
12.317000	11.251000	5.000000E-6	1.112903E-4	22.258060
12.325000	11.045000	5.000000E-6	1.104094E-4	22.081872
12.316000	10.976000	5.000000E-6	1.098039E-4	21.960775
12.321000	10.961000	5.000000E-6	1.093430E-4	21.868602
12.326000	11.679000	5.000000E-6	1.090606E-4	21.812128
12.388000	11.809000	5.000000E-6	1.083005E-4	21.660109
12.423000	11.581000	5.000000E-6	1.081376E-4	21.627526
12.449000	11.300000	5.000000E-6	1.076852E-4	21.537037
12.451000	11.236000	5.000000E-6	1.072412E-4	21.448244
12.450000	11.035000	5.000000E-6	1.069996E-4	21.399912
12.439000	11.293000	5.000000E-6	1.060624E-4	21.212487
12.472000	11.645000	5.000000E-6	1.058925E-4	21.178500
12.514000	11.922000	5.000000E-6	1.052855E-4	21.057098
12.566000	11.625000	5.000000E-6	1.047839E-4	20.956783
12.586000	11.530000	5.000000E-6	1.040294E-4	20.805888
12.602000	11.363000	5.000000E-6	1.037232E-4	20.744630
12.597000	11.186000	5.000000E-6	1.030123E-4	20.602458
12.592000	11.275000	5.000000E-6	1.027875E-4	20.557495
12.615000	11.951000	5.000000E-6	1.021187E-4	20.423749
12.669000	12.013000	5.000000E-6	1.017520E-4	20.350395
12.709000	11.891000	5.000000E-6	1.011662E-4	20.233236
12.726000	11.588000	5.000000E-6	1.010186E-4	20.203727
12.729000	11.448000	5.000000E-6	1.006393E-4	20.127866
12.721000	11.372000	5.000000E-6	1.002979E-4	20.059577
12.727000	11.533000	5.000000E-6	9.957298E-5	19.914596
12.749000	12.156000	5.000000E-6	9.964605E-5	19.929211
12.804000	12.220000	5.000000E-6	9.889579E-5	19.779158
12.830000	11.965000	5.000000E-6	9.889439E-5	19.778878
12.853000	11.727000	5.000000E-6	9.790952E-5	19.581903
12.862000	11.683000	5.000000E-6	9.766371E-5	19.532741
12.872000	11.506000	5.000000E-6	9.725904E-5	19.451808
12.864000	11.736000	5.000000E-6	9.651578E-5	19.303155
12.890000	12.054000	5.000000E-6	9.652561E-5	19.305122
12.925000	12.352000	5.000000E-6	9.610133E-5	19.220266
12.976000	12.080000	5.000000E-6	9.553793E-5	19.107586
12.998000	11.970000	5.000000E-6	9.506168E-5	19.012336
13.010000	11.659000	5.000000E-6	9.454042E-5	18.908084
13.007000	11.626000	5.000000E-6	9.446456E-5	18.892912
13.001000	11.638000	5.000000E-6	9.388142E-5	18.776284
13.021000	12.249000	5.000000E-6	9.338269E-5	18.676539
13.069000	12.440000	5.000000E-6	9.307783E-5	18.615566
13.123000	12.381000	5.000000E-6	9.285164E-5	18.570329
13.148000	11.965000	5.000000E-6	9.208730E-5	18.417460
13.157000	11.947000	5.000000E-6	9.181331E-5	18.362662
13.155000	11.746000	5.000000E-6	9.164333E-5	18.328665
13.142000	11.780000	5.000000E-6	9.141009E-5	18.282017
13.162000	12.391000	5.000000E-6	9.090006E-5	18.180012
13.209000	12.598000	5.000000E-6	9.048846E-5	18.097692
13.258000	12.499000	5.000000E-6	8.993626E-5	17.987252
13.281000	12.231000	5.000000E-6	9.007114E-5	18.014227
13.293000	12.078000	5.000000E-6	8.942204E-5	17.884409
13.292000	12.009000	5.000000E-6	8.887695E-5	17.775390
13.295000	11.924000	5.000000E-6	8.885585E-5	17.771169
13.300000	12.531000	5.000000E-6	8.837256E-5	17.674512
13.333000	12.728000	5.000000E-6	8.800724E-5	17.601449
13.384000	12.766000	5.000000E-6	8.780355E-5	17.560709
13.410000	12.534000	5.000000E-6	8.731741E-5	17.463483
13.439000	12.305000	5.000000E-6	8.723170E-5	17.446340
13.444000	12.270000	5.000000E-6	8.633530E-5	17.267059
13.456000	12.107000	5.000000E-6	8.628895E-5	17.257790
13.453000	12.278000	5.000000E-6	8.630720E-5	17.261439
13.470000	12.539000	5.000000E-6	8.552460E-5	17.104921
13.502000	12.907000	5.000000E-6	8.537849E-5	17.075699
13.553000	12.700000	5.000000E-6	8.468163E-5	16.936327
13.583000	12.600000	5.000000E-6	8.441046E-5	16.882093
13.600000	12.429000	5.000000E-6	8.438800E-5	16.877600
13.604000	12.248000	5.000000E-6	8.382741E-5	16.765482
13.596000	12.224000	5.000000E-6	8.354920E-5	16.709839
13.607000	12.588000	5.000000E-6	8.322889E-5	16.645778
13.636000	13.031000	5.000000E-6	8.259946E-5	16.519892
13.684000	13.023000	5.000000E-6	8.237608E-5	16.475216
13.712000	12.761000	5.000000E-6	8.249409E-5	16.498818
13.731000	12.578000	5.000000E-6	8.202060E-5	16.404121
