Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
2.989000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:51 PM
2.964000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:52 PM
2.981000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:53 PM
2.982000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:53 PM
2.969000,0.467494,0.000604,30050000.000000,0.000000,87,117649351775656.406000,2362.778750,14-Feb-19 3:49:54 PM
2.991000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:55 PM
2.971000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:55 PM
2.975000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:56 PM
2.988000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:49:56 PM
2.963000,0.467494,0.000607,30050000.000000,0.000000,87,117649351775656.406000,2377.362572,14-Feb-19 3:49:57 PM
2.982000,0.467494,0.000607,30050000.000000,0.000000,87,117649351775656.406000,2377.362572,14-Feb-19 3:49:58 PM
2.980000,0.467494,0.000607,30050000.000000,0.000000,87,117649351775656.406000,2377.362572,14-Feb-19 3:49:58 PM
2.968000,0.467399,0.000605,30050000.000000,0.000000,87,117673264296690.219000,2370.550426,14-Feb-19 3:49:59 PM
2.990000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:50:00 PM
2.969000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:50:00 PM
2.975000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:50:01 PM
2.987000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:50:01 PM
2.963000,0.467494,0.000600,30050000.000000,0.000000,87,117649351775656.406000,2348.191014,14-Feb-19 3:50:02 PM
2.982000,0.467494,0.000602,30050000.000000,0.000000,87,117649351775656.406000,2355.484882,14-Feb-19 3:50:03 PM
2.978000,0.467589,0.000602,30050000.000000,0.000000,87,117625448971230.531000,2355.006318,14-Feb-19 3:50:03 PM
2.969000,0.467589,0.000602,30050000.000000,0.000000,87,117625448971230.531000,2355.006318,14-Feb-19 3:50:04 PM
2.989000,0.467589,0.000602,30050000.000000,0.000000,87,117625448971230.531000,2355.006318,14-Feb-19 3:50:05 PM
2.968000,0.467589,0.000602,30050000.000000,0.000000,87,117625448971230.531000,2355.006318,14-Feb-19 3:50:05 PM
2.975000,0.467589,0.000602,30050000.000000,0.000000,87,117625448971230.531000,2355.006318,14-Feb-19 3:50:06 PM
2.985000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:06 PM
2.963000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:07 PM
2.982000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:08 PM
2.976000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:08 PM
2.968000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:09 PM
2.988000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:10 PM
2.965000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:10 PM
2.975000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:11 PM
2.983000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:11 PM
2.962000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:12 PM
2.982000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:13 PM
2.974000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:13 PM
2.968000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:14 PM
2.988000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:15 PM
2.964000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:15 PM
2.976000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:16 PM
2.982000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:16 PM
2.963000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:17 PM
2.983000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:18 PM
2.972000,0.467685,0.000602,30050000.000000,0.000000,87,117601304422867.344000,2354.522915,14-Feb-19 3:50:18 PM
2.969000,0.467780,0.000602,30050000.000000,0.000000,87,117577421136022.719000,2354.044742,14-Feb-19 3:50:19 PM
2.987000,0.467876,0.000602,30050000.000000,0.000000,87,117553296298610.562000,2353.561733,14-Feb-19 3:50:20 PM
2.963000,0.467876,0.000602,30050000.000000,0.000000,87,117553296298610.562000,2353.561733,14-Feb-19 3:50:20 PM
2.977000,0.467876,0.000602,30050000.000000,0.000000,87,117553296298610.562000,2353.561733,14-Feb-19 3:50:21 PM
2.981000,0.467876,0.000602,30050000.000000,0.000000,87,117553296298610.562000,2353.561733,14-Feb-19 3:50:21 PM
2.964000,0.467876,0.000602,30050000.000000,0.000000,87,117553296298610.562000,2353.561733,14-Feb-19 3:50:22 PM
2.984000,0.467971,0.000602,30050000.000000,0.000000,87,117529432505451.625000,2353.083951,14-Feb-19 3:50:23 PM
2.971000,0.467971,0.000604,30050000.000000,0.000000,87,117529432505451.625000,2360.370384,14-Feb-19 3:50:23 PM
2.971000,0.467971,0.000605,30050000.000000,0.000000,87,117529432505451.625000,2367.652907,14-Feb-19 3:50:24 PM
2.988000,0.467971,0.000605,30050000.000000,0.000000,87,117529432505451.625000,2367.652907,14-Feb-19 3:50:25 PM
2.963000,0.467971,0.000604,30050000.000000,0.000000,87,117529432505451.625000,2360.370384,14-Feb-19 3:50:25 PM
2.979000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:26 PM
2.981000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:26 PM
2.966000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:27 PM
2.985000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:28 PM
2.971000,0.467971,0.000602,30050000.000000,0.000000,87,117529432505451.625000,2353.083951,14-Feb-19 3:50:28 PM
2.973000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:29 PM
2.988000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:30 PM
2.963000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:30 PM
2.980000,0.468066,0.000602,30050000.000000,0.000000,87,117505578399218.719000,2352.606362,14-Feb-19 3:50:31 PM
2.980000,0.468066,0.000604,30050000.000000,0.000000,87,117505578399218.719000,2359.891317,14-Feb-19 3:50:31 PM
2.967000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:32 PM
2.987000,0.468066,0.000604,30050000.000000,0.000000,87,117505578399218.719000,2359.891317,14-Feb-19 3:50:33 PM
2.970000,0.468066,0.000604,30050000.000000,0.000000,87,117505578399218.719000,2359.891317,14-Feb-19 3:50:33 PM
2.975000,0.468066,0.000605,30050000.000000,0.000000,87,117505578399218.719000,2367.172361,14-Feb-19 3:50:34 PM
2.988000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:35 PM
2.964000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:35 PM
2.982000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:36 PM
2.980000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:36 PM
2.970000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:37 PM
2.989000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:38 PM
2.971000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:38 PM
2.977000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:39 PM
2.989000,0.468162,0.000605,30050000.000000,0.000000,87,117481483031533.359000,2366.686955,14-Feb-19 3:50:40 PM
2.965000,0.468162,0.000605,30050000.000000,0.000000,87,117481483031533.359000,2366.686955,14-Feb-19 3:50:40 PM
2.985000,0.468162,0.000605,30050000.000000,0.000000,87,117481483031533.359000,2366.686955,14-Feb-19 3:50:41 PM
2.980000,0.468162,0.000605,30050000.000000,0.000000,87,117481483031533.359000,2366.686955,14-Feb-19 3:50:41 PM
2.972000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:42 PM
2.991000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:43 PM
2.971000,0.468162,0.000604,30050000.000000,0.000000,87,117481483031533.359000,2359.407404,14-Feb-19 3:50:43 PM
2.980000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:44 PM
2.989000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:45 PM
2.966000,0.468257,0.000602,30050000.000000,0.000000,87,117457648383278.219000,2351.646744,14-Feb-19 3:50:45 PM
2.987000,0.468257,0.000602,30050000.000000,0.000000,87,117457648383278.219000,2351.646744,14-Feb-19 3:50:46 PM
2.980000,0.468162,0.000602,30050000.000000,0.000000,87,117481483031533.359000,2352.123943,14-Feb-19 3:50:46 PM
2.975000,0.468257,0.000602,30050000.000000,0.000000,87,117457648383278.219000,2351.646744,14-Feb-19 3:50:47 PM
2.994000,0.468257,0.000602,30050000.000000,0.000000,87,117457648383278.219000,2351.646744,14-Feb-19 3:50:48 PM
2.972000,0.468352,0.000602,30050000.000000,0.000000,87,117433823404210.328000,2351.169739,14-Feb-19 3:50:48 PM
2.983000,0.468352,0.000604,30050000.000000,0.000000,87,117433823404210.328000,2358.450245,14-Feb-19 3:50:49 PM
2.990000,0.468352,0.000604,30050000.000000,0.000000,87,117433823404210.328000,2358.450245,14-Feb-19 3:50:50 PM
2.968000,0.468352,0.000605,30050000.000000,0.000000,87,117433823404210.328000,2365.726843,14-Feb-19 3:50:50 PM
2.990000,0.468352,0.000604,30050000.000000,0.000000,87,117433823404210.328000,2358.450245,14-Feb-19 3:50:51 PM
2.981000,0.468352,0.000602,30050000.000000,0.000000,87,117433823404210.328000,2351.169739,14-Feb-19 3:50:51 PM
2.978000,0.468352,0.000602,30050000.000000,0.000000,87,117433823404210.328000,2351.169739,14-Feb-19 3:50:52 PM
2.996000,0.468352,0.000602,30050000.000000,0.000000,87,117433823404210.328000,2351.169739,14-Feb-19 3:50:53 PM
2.972000,0.468448,0.000602,30050000.000000,0.000000,87,117409757452286.484000,2350.687909,14-Feb-19 3:50:53 PM
2.986000,0.468448,0.000602,30050000.000000,0.000000,87,117409757452286.484000,2350.687909,14-Feb-19 3:50:54 PM
2.991000,0.468448,0.000600,30050000.000000,0.000000,87,117409757452286.484000,2343.408894,14-Feb-19 3:50:55 PM
2.970000,0.468352,0.000600,30050000.000000,0.000000,87,117433823404210.328000,2343.889232,14-Feb-19 3:50:55 PM
2.993000,0.468352,0.000600,30050000.000000,0.000000,87,117433823404210.328000,2343.889232,14-Feb-19 3:50:56 PM
2.982000,0.468352,0.000600,30050000.000000,0.000000,87,117433823404210.328000,2343.889232,14-Feb-19 3:50:56 PM
2.981000,0.468448,0.000600,30050000.000000,0.000000,87,117409757452286.484000,2343.408894,14-Feb-19 3:50:57 PM
2.999000,0.468448,0.000598,30050000.000000,0.000000,87,117409757452286.484000,2336.133787,14-Feb-19 3:50:58 PM
2.974000,0.468543,0.000598,30050000.000000,0.000000,87,117385951895575.672000,2335.660122,14-Feb-19 3:50:58 PM
2.989000,0.468448,0.000600,30050000.000000,0.000000,87,117409757452286.484000,2343.408894,14-Feb-19 3:50:59 PM
2.992000,0.468448,0.000602,30050000.000000,0.000000,87,117409757452286.484000,2350.687909,14-Feb-19 3:51:00 PM
